Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
2020-03-08,4,1,1,0,1,0,0,0
2020-03-09,7,3,0,0,2,0,0,0
2020-03-10,14,3,3,0,0,0,0,0
2020-03-11,4,3,2,2,3,1,0,0
2020-03-12,13,6,7,3,0,0,0,1
2020-03-13,14,9,8,4,5,1,0,0
2020-03-14,20,13,11,3,3,1,0,0
2020-03-15,22,8,15,1,1,1,0,0
2020-03-16,37,14,7,9,10,1,0,1
2020-03-17,39,23,10,3,3,0,0,0
2020-03-18,57,27,16,5,4,3,0,1
2020-03-19,40,29,50,5,17,0,0,1
2020-03-20,46,28,40,8,12,0,2,2
2020-03-21,83,51,37,17,26,7,2,3
2020-03-22,97,67,38,33,30,5,0,10
2020-03-23,136,61,60,34,20,6,0,13
2020-03-24,149,56,78,36,35,8,1,7
2020-03-25,211,55,46,27,30,6,0,5
2020-03-26,190,54,50,38,26,5,7,9
2020-03-27,186,54,62,22,24,12,2,9
2020-03-28,212,111,70,30,23,4,1,9
2020-03-29,174,84,31,12,33,4,0,6
2020-03-30,127,52,33,6,44,3,0,1
2020-03-31,114,96,55,32,9,0,4,2
2020-04-01,150,51,40,30,28,2,0,5
2020-04-02,116,68,57,18,8,3,3,4
2020-04-03,91,49,39,11,22,6,4,4
2020-04-04,104,30,27,11,14,2,0,2
2020-04-05,87,20,9,2,17,4,1,3
2020-04-06,57,23,14,2,7,3,1,0
2020-04-07,49,33,13,4,10,9,0,1
2020-04-08,48,21,9,5,11,9,0,2
2020-04-09,39,16,10,1,14,4,0,1
2020-04-10,49,13,13,7,11,11,0,3
2020-04-11,44,24,9,1,8,11,0,0
2020-04-12,7,3,12,0,3,11,0,0
2020-04-13,9,13,7,2,6,6,0,1
2020-04-14,7,10,11,2,4,15,0,0
2020-04-15,16,8,5,0,5,4,0,0
2020-04-16,11,2,5,1,3,11,0,0
2020-04-17,29,1,6,1,6,4,0,0
2020-04-18,10,17,9,0,3,4,0,0
2020-04-19,21,9,5,0,1,9,0,0
2020-04-20,6,1,0,0,0,3,0,1
2020-04-21,6,7,6,2,1,1,0,0
2020-04-22,5,2,0,1,0,4,0,0
2020-04-23,5,1,2,0,0,0,0,0
2020-04-24,7,6,2,0,2,2,0,1
2020-04-25,12,3,2,0,1,1,0,1
2020-04-26,8,3,3,0,0,4,0,0
2020-04-27,2,1,3,0,0,2,0,0
2020-04-28,5,2,0,0,1,4,0,0
2020-04-29,11,3,1,0,1,1,0,0
2020-04-30,2,7,0,0,0,2,0,0
2020-05-01,9,3,0,0,0,0,0,0
2020-05-02,5,7,1,0,0,0,2,0
2020-05-03,4,13,1,0,0,0,0,0
2020-05-04,1,22,3,0,0,0,0,1
2020-05-05,3,17,5,0,0,2,0,0
2020-05-06,9,17,0,0,0,0,0,0
2020-05-07,3,14,2,1,0,2,0,0
2020-05-08,4,14,0,0,1,0,0,0
2020-05-09,5,11,0,0,0,0,0,0
2020-05-10,2,10,2,0,0,0,0,0
2020-05-11,1,7,0,0,0,0,0,0
2020-05-12,0,17,0,0,1,0,0,0
2020-05-13,6,7,0,0,0,0,0,0
2020-05-14,4,9,0,0,1,0,0,0
2020-05-15,8,21,1,0,0,1,0,0
2020-05-16,3,11,1,0,2,0,0,0
2020-05-17,1,7,0,0,0,0,0,0
2020-05-18,1,8,2,0,0,0,0,0
2020-05-19,2,7,0,0,0,0,0,0
2020-05-20,4,8,1,0,0,0,0,0
2020-05-21,2,4,0,0,0,0,0,0
2020-05-22,3,12,0,0,0,0,0,0
2020-05-23,3,10,1,0,0,0,0,0
2020-05-24,1,2,1,0,0,0,0,0
2020-05-25,3,2,0,0,4,0,0,0
2020-05-26,2,5,1,1,6,0,0,0
2020-05-27,2,8,1,0,0,0,0,0
2020-05-28,1,10,0,0,7,0,0,0
2020-05-29,2,7,0,0,8,0,0,0
2020-05-30,0,11,0,0,0,0,0,0
2020-05-31,3,6,0,0,3,0,0,0
2020-06-01,3,4,0,0,1,0,0,0
2020-06-02,6,10,1,0,0,0,0,0
2020-06-03,0,7,0,0,1,0,0,0
2020-06-04,2,8,0,0,0,0,0,0
2020-06-05,4,3,0,0,4,0,0,0
2020-06-06,0,0,1,0,1,0,0,0
2020-06-07,0,4,0,0,0,0,0,1
2020-06-08,3,2,0,0,0,0,0,0
2020-06-09,2,0,0,0,0,0,0,0
2020-06-10,3,4,0,0,0,0,0,0
2020-06-11,0,8,1,0,0,0,0,0
2020-06-12,3,4,1,0,1,0,0,0
2020-06-13,4,8,1,0,0,0,0,0
2020-06-14,9,9,0,0,0,0,0,0
2020-06-15,3,12,0,0,0,0,0,0
2020-06-16,3,9,0,0,0,0,0,0
2020-06-17,1,21,1,0,0,0,0,0
2020-06-18,2,18,0,0,1,0,0,0
2020-06-19,7,13,0,0,0,0,0,0
2020-06-20,1,25,0,0,0,0,0,0
2020-06-21,5,19,0,0,1,0,0,0
2020-06-22,2,16,0,0,0,0,0,0
2020-06-23,1,17,0,0,2,0,0,0
2020-06-24,10,20,0,0,0,0,0,0
2020-06-25,4,33,0,0,0,0,0,0
2020-06-26,6,30,1,0,0,0,0,0
2020-06-27,6,41,0,0,0,0,0,0
2020-06-28,3,49,0,0,1,0,0,0
2020-06-29,7,75,0,3,0,0,0,0
2020-06-30,5,64,0,0,2,0,0,0
2020-07-01,14,73,0,0,0,0,0,0
2020-07-02,8,77,0,0,0,0,1,0
2020-07-03,0,66,0,0,0,0,0,0
2020-07-04,6,108,0,0,0,0,0,0
2020-07-05,14,74,0,0,6,0,0,0
2020-07-06,10,127,0,0,3,0,0,0
2020-07-07,7,191,1,0,0,0,0,0
2020-07-08,8,134,0,0,2,0,0,3
2020-07-09,13,165,0,0,3,0,0,1
2020-07-10,14,288,0,0,3,0,1,1
2020-07-11,7,216,2,0,2,0,0,0
2020-07-12,5,273,0,0,1,0,0,0
2020-07-13,14,177,1,0,0,0,0,0
2020-07-14,13,270,0,0,1,0,0,0
2020-07-15,13,238,0,0,8,0,0,0
2020-07-16,10,317,0,1,2,0,0,0
2020-07-17,8,428,0,0,2,0,0,0
2020-07-18,15,217,0,0,1,0,0,0
2020-07-19,18,363,0,0,0,0,0,0
2020-07-20,20,275,1,0,0,1,0,0
2020-07-21,13,374,0,0,0,0,0,0
2020-07-22,16,484,1,2,0,0,0,0
2020-07-23,19,403,0,1,0,0,0,0
2020-07-24,7,300,2,0,0,0,0,0
2020-07-25,15,357,0,0,0,0,0,0
2020-07-26,14,459,0,0,2,0,0,0
2020-07-27,17,532,0,0,0,0,0,0
2020-07-28,14,384,0,1,1,0,0,0
2020-07-29,19,295,3,0,2,0,0,0
2020-07-30,18,723,3,1,1,0,0,0
2020-07-31,21,627,1,1,1,0,1,0
2020-08-01,17,397,1,1,0,0,1,0
2020-08-02,12,671,1,2,1,0,0,0
2020-08-03,13,429,0,2,0,0,0,0
2020-08-04,12,439,0,2,0,0,0,0
2020-08-05,12,725,1,0,1,0,0,0
2020-08-06,12,471,0,1,0,0,0,0
2020-08-07,11,450,0,2,0,0,0,0
2020-08-08,9,466,0,0,0,0,0,0
2020-08-09,10,394,0,0,0,0,0,0
2020-08-10,14,322,1,0,0,0,0,0
2020-08-11,22,331,0,0,0,1,0,0
2020-08-12,18,410,0,0,0,0,0,0
2020-08-13,12,278,0,0,2,0,0,0
2020-08-14,9,372,3,1,1,0,0,0
2020-08-15,9,303,0,0,1,0,0,0
2020-08-16,5,279,0,1,0,0,0,0
2020-08-17,7,282,0,1,0,0,0,0
2020-08-18,3,222,0,0,1,0,0,0
2020-08-19,7,216,1,0,4,0,0,0
2020-08-20,5,240,1,0,0,0,0,0
2020-08-21,1,179,0,0,0,0,0,0
2020-08-22,9,182,9,0,0,0,0,0
2020-08-23,4,208,2,1,1,0,0,0
2020-08-24,3,116,1,0,1,0,0,0
2020-08-25,3,148,0,0,0,0,0,0
2020-08-26,6,149,1,0,0,0,0,0
2020-08-27,9,113,2,0,0,0,0,0
2020-08-28,13,113,3,0,2,0,0,0
2020-08-29,14,94,4,0,0,0,0,0
2020-08-30,7,114,4,0,0,0,0,0
2020-08-31,10,73,1,0,0,0,0,0
2020-09-01,13,70,2,0,0,0,0,0
2020-09-02,17,90,2,0,0,0,0,0
2020-09-03,12,113,2,0,0,0,0,0
2020-09-04,8,81,0,0,0,0,0,0
2020-09-05,5,76,1,1,0,0,0,0
2020-09-06,10,63,2,0,1,0,0,0
2020-09-07,4,41,2,0,1,0,0,0
2020-09-08,9,55,1,0,1,0,0,0
2020-09-09,9,76,8,0,0,0,0,0
2020-09-10,7,51,0,0,1,0,0,0
2020-09-11,10,43,2,0,0,0,0,0
2020-09-12,6,37,3,0,0,0,0,0
2020-09-13,9,41,0,0,0,0,0,0
2020-09-14,4,35,0,0,0,0,0,0
2020-09-15,7,42,1,0,0,0,0,0
2020-09-16,10,42,0,0,1,0,0,0
2020-09-17,5,28,1,0,1,0,0,0
2020-09-18,6,45,0,0,0,0,0,0
2020-09-19,3,21,0,0,0,0,0,0
2020-09-20,2,14,2,0,1,0,0,0
2020-09-21,4,11,1,0,0,0,0,0
2020-09-22,2,28,0,0,3,0,0,0
2020-09-23,6,15,0,2,0,0,0,0
2020-09-24,1,12,0,0,3,0,0,0
2020-09-25,4,14,0,0,0,0,0,0
2020-09-26,1,12,3,0,1,0,0,0
2020-09-27,0,16,1,0,7,0,0,0
2020-09-28,0,5,0,0,0,0,0,0
2020-09-29,2,10,0,0,8,0,0,0
2020-09-30,4,13,0,0,0,0,0,0
2020-10-01,2,15,0,0,1,0,0,0
2020-10-02,4,7,2,2,0,0,0,0
2020-10-03,1,8,0,0,1,0,0,0
2020-10-04,2,12,0,1,0,0,0,0
2020-10-05,1,9,0,0,1,0,0,0
2020-10-06,11,15,0,2,0,0,0,0
2020-10-07,3,6,0,0,1,0,0,0
2020-10-08,12,11,0,0,2,0,0,0
2020-10-09,10,11,0,1,2,0,0,0
2020-10-10,3,14,1,0,0,0,0,0
2020-10-11,5,12,0,2,2,0,0,0
2020-10-12,6,15,0,0,2,0,0,0
2020-10-13,13,12,0,1,7,0,0,0
2020-10-14,13,7,0,3,1,0,0,0
2020-10-15,11,6,1,0,5,0,0,0
2020-10-16,5,2,2,0,0,0,0,0
2020-10-17,7,1,0,3,2,0,0,0
2020-10-18,5,2,0,2,3,0,0,0
2020-10-19,4,4,0,0,0,0,0,0
2020-10-20,5,1,0,0,24,0,0,0
2020-10-21,10,3,1,1,1,0,0,0
2020-10-22,7,5,0,0,8,0,0,1
2020-10-23,7,1,2,2,6,0,0,0
2020-10-24,5,7,0,0,4,0,0,0
2020-10-25,7,7,0,4,3,0,0,0
2020-10-26,4,0,0,3,2,0,0,0
2020-10-27,12,0,0,0,2,0,0,0
2020-10-28,8,2,2,1,1,0,1,0
2020-10-29,5,3,0,1,1,0,4,0
2020-10-30,6,4,1,1,1,0,0,0
2020-10-31,4,0,0,4,1,0,0,0
2020-11-01,4,0,1,0,1,0,0,0
2020-11-02,7,0,0,0,1,0,0,0
2020-11-03,3,0,3,2,0,0,0,0
2020-11-04,9,0,2,1,1,0,0,0
2020-11-05,2,0,0,5,4,0,1,0
2020-11-06,9,0,0,1,1,0,0,0
2020-11-07,5,0,0,2,0,0,0,0
2020-11-08,3,0,0,3,0,0,0,0
2020-11-09,7,0,0,2,0,0,1,0
2020-11-10,5,0,1,1,2,0,0,0
2020-11-11,4,0,1,1,2,0,0,0
2020-11-12,5,0,3,1,3,0,1,0
2020-11-13,1,0,1,0,0,0,5,0
2020-11-14,4,0,2,3,0,0,0,0
2020-11-15,9,0,0,4,4,0,0,0
2020-11-16,2,0,0,18,1,0,0,0
2020-11-17,4,0,1,5,0,0,0,0
2020-11-18,7,0,1,2,6,0,0,1
2020-11-19,5,0,3,0,0,0,0,0
2020-11-20,3,0,0,3,2,0,0,0
2020-11-21,10,0,2,1,1,0,0,0
2020-11-22,11,0,1,1,2,0,0,0
2020-11-23,5,0,3,1,5,0,1,0
2020-11-24,6,0,1,1,4,0,0,0
2020-11-25,4,0,0,0,2,0,2,0
2020-11-26,0,0,0,1,7,0,0,0
2020-11-27,4,0,0,1,0,0,3,1
2020-11-28,8,0,1,1,0,0,0,1
2020-11-29,4,0,2,0,1,0,0,0
2020-11-30,9,0,0,0,0,0,0,0
2020-12-01,5,0,0,0,3,0,1,0
2020-12-02,6,0,3,0,2,0,0,0
2020-12-03,10,0,1,0,0,0,6,0
2020-12-04,5,0,2,0,2,0,0,0
2020-12-05,2,0,2,0,3,0,0,0
2020-12-06,5,0,2,0,2,0,0,0
2020-12-07,4,0,3,0,0,0,0,0
2020-12-08,6,0,6,0,1,0,2,0
2020-12-09,2,0,0,0,1,3,0,0
2020-12-10,4,0,3,0,0,1,1,0
2020-12-11,9,0,0,0,2,0,0,0
2020-12-12,6,5,1,0,1,0,0,0
2020-12-13,3,1,0,0,1,0,0,0
2020-12-14,3,1,1,1,1,0,2,0
2020-12-15,5,0,1,0,1,0,2,0
2020-12-16,7,0,1,0,4,0,0,0
2020-12-17,9,0,1,0,1,0,2,0
2020-12-18,16,1,3,0,1,0,0,0
2020-12-19,30,2,0,0,1,0,3,0
2020-12-20,36,2,2,3,0,0,0,1
2020-12-21,23,1,1,0,1,0,0,0
2020-12-22,18,3,0,0,0,0,0,0
2020-12-23,16,1,1,0,0,0,0,0
2020-12-24,18,0,2,2,1,0,2,0
2020-12-25,10,0,2,2,1,0,0,0
2020-12-26,15,0,1,0,5,0,0,0
2020-12-27,11,1,0,2,2,0,0,0
2020-12-28,14,2,5,1,3,0,0,0
2020-12-29,9,0,2,0,1,0,1,0
2020-12-30,25,1,2,3,0,0,0,0
2020-12-31,17,3,3,2,2,0,0,0
2021-01-01,5,8,0,4,2,0,1,0
2021-01-02,19,12,1,0,3,0,7,0
2021-01-03,11,3,0,0,1,0,1,0
2021-01-04,7,4,5,4,1,0,1,0
2021-01-05,8,4,2,0,1,0,5,0
2021-01-06,5,3,1,1,3,0,0,0
2021-01-07,6,0,2,0,2,0,0,0
2021-01-08,11,1,9,3,0,0,1,0
2021-01-09,6,1,0,3,1,0,1,0
2021-01-10,6,6,0,0,0,0,1,0
2021-01-11,11,1,4,1,2,0,0,0
2021-01-12,16,0,3,0,1,0,0,0
2021-01-13,7,3,2,2,1,0,1,0
2021-01-14,2,0,4,0,2,0,2,0
2021-01-15,2,2,3,1,3,0,0,0
2021-01-16,12,3,1,2,2,0,0,0
2021-01-17,9,7,2,0,1,0,0,0
2021-01-18,8,4,1,0,0,0,0,0
2021-01-19,2,4,3,0,1,0,2,0
2021-01-20,3,3,2,1,0,0,1,0
2021-01-21,5,1,1,2,0,0,0,0
2021-01-22,1,1,3,0,2,0,2,0
2021-01-23,1,3,0,0,2,0,0,0
2021-01-24,3,1,0,0,2,0,0,0
2021-01-25,3,6,2,0,0,0,0,0
2021-01-26,2,1,0,0,1,0,0,0
2021-01-27,2,2,1,0,2,0,0,0
2021-01-28,3,3,1,0,1,0,0,0
2021-01-29,3,1,1,0,1,0,0,0
2021-01-30,2,1,0,0,3,0,0,0
2021-01-31,3,0,0,1,1,0,0,0
2021-02-01,6,1,0,0,0,0,0,0
2021-02-02,2,1,1,1,0,0,0,0
2021-02-03,2,0,0,4,0,0,0,0
2021-02-04,3,3,0,0,2,0,1,0
2021-02-05,0,3,1,1,1,0,0,0
2021-02-06,2,0,1,0,0,0,2,0
2021-02-07,1,0,1,0,0,0,1,0
2021-02-08,3,1,2,1,0,0,0,0
2021-02-09,2,0,0,0,0,0,0,0
2021-02-10,4,2,1,2,2,0,0,0
2021-02-11,3,2,1,1,1,0,0,0
2021-02-12,2,5,0,0,0,0,0,0
2021-02-13,2,1,2,0,0,0,0,0
2021-02-14,2,3,0,0,0,0,1,0
2021-02-15,0,2,0,0,0,0,0,0
2021-02-16,1,4,0,0,0,0,0,0
2021-02-17,4,0,0,2,0,0,0,0
2021-02-18,0,1,0,0,0,0,0,0
2021-02-19,2,3,0,0,0,0,0,0
2021-02-20,1,0,0,0,0,0,1,0
2021-02-21,3,0,0,2,1,0,0,0
2021-02-22,1,0,2,0,1,0,0,0
2021-02-23,4,0,0,2,1,0,0,0
2021-02-24,1,0,0,1,0,0,0,0
2021-02-25,7,0,1,0,0,0,0,0
2021-02-26,4,2,4,0,0,0,1,0
2021-02-27,6,0,1,0,0,0,0,0
2021-02-28,5,0,0,0,0,0,0,0
2021-03-01,3,0,2,3,0,0,0,0
2021-03-02,3,0,4,2,0,0,0,0
2021-03-03,6,0,0,1,1,0,0,2
2021-03-04,4,0,7,0,0,0,0,0
2021-03-05,12,0,1,0,0,0,0,0
2021-03-06,3,1,3,0,1,0,0,0
2021-03-07,2,0,1,0,1,0,0,2
2021-03-08,1,1,5,0,2,0,0,0
2021-03-09,6,1,5,2,1,0,0,0
2021-03-10,5,0,5,1,2,0,0,1
2021-03-11,6,0,5,3,1,0,0,0
2021-03-12,8,0,2,2,0,0,0,0
2021-03-13,1,0,4,5,1,0,0,0
2021-03-14,3,0,1,0,1,0,0,0
2021-03-15,4,0,6,3,1,0,0,0
2021-03-16,2,0,2,2,1,0,0,0
2021-03-17,7,0,6,2,1,0,1,0
2021-03-18,3,0,8,2,0,0,0,0
2021-03-19,5,0,9,1,2,0,0,0
2021-03-20,3,0,4,1,1,0,0,0
2021-03-21,2,0,2,0,0,0,0,0
2021-03-22,5,0,4,0,1,0,0,0
2021-03-23,4,0,3,0,0,0,0,0
2021-03-24,3,0,4,2,1,0,0,0
2021-03-25,5,0,3,0,2,0,0,0
2021-03-26,3,0,7,1,0,0,0,0
2021-03-27,3,0,6,3,0,0,1,0
2021-03-28,0,0,3,2,1,0,1,0
2021-03-29,2,1,10,2,3,0,0,0
2021-03-30,5,0,10,3,0,0,0,0
2021-03-31,4,0,3,0,4,0,0,0
2021-04-01,4,0,10,1,2,0,1,0
2021-04-02,0,0,8,2,0,0,2,0
2021-04-03,3,0,3,0,0,0,0,0
2021-04-04,1,0,1,1,3,0,1,0
2021-04-05,3,0,4,2,1,0,0,0
2021-04-06,7,0,0,0,2,0,0,0
2021-04-07,6,0,6,1,1,0,0,0
2021-04-08,2,0,3,1,0,0,0,0
2021-04-09,2,0,1,2,0,0,0,0
2021-04-10,4,1,1,0,0,0,0,0
2021-04-11,6,0,0,1,2,0,0,0
2021-04-12,9,2,2,0,1,0,0,0
2021-04-13,5,0,2,8,3,0,0,0
2021-04-14,3,0,2,1,7,0,0,0
2021-04-15,9,5,0,2,1,0,1,0
2021-04-16,7,0,5,1,1,0,0,0
2021-04-17,7,2,1,4,1,0,6,0
2021-04-18,6,0,2,0,6,0,0,0
2021-04-19,8,4,0,6,2,0,4,0
2021-04-20,3,1,0,3,3,0,6,0
2021-04-21,8,3,1,2,2,0,3,0
2021-04-22,7,2,0,9,2,0,5,0
2021-04-23,18,3,4,1,0,0,12,0
2021-04-24,1,1,1,1,2,0,10,0
2021-04-25,1,1,2,1,2,0,1,0
2021-04-26,8,0,2,14,0,0,4,0
2021-04-27,12,4,2,1,4,0,0,0
2021-04-28,9,2,9,0,4,0,1,1
2021-04-29,15,1,4,3,4,0,0,0
2021-04-30,13,2,3,2,1,0,1,0
2021-05-01,4,3,0,2,1,0,0,0
2021-05-02,3,1,0,2,5,0,0,0
2021-05-03,5,1,3,3,3,0,0,0
2021-05-04,7,1,1,2,0,0,0,0
2021-05-05,11,0,0,1,2,0,0,0
2021-05-06,10,2,3,2,3,0,1,0
2021-05-07,5,0,2,3,0,0,0,0
2021-05-08,6,1,2,0,0,0,0,0
2021-05-09,6,6,3,2,0,0,0,0
2021-05-10,6,2,1,0,0,0,0,0
2021-05-11,4,2,0,0,2,0,0,0
2021-05-12,4,0,3,1,0,0,0,0
2021-05-13,5,1,0,0,0,0,0,0
2021-05-14,1,1,0,0,0,0,0,0
2021-05-15,3,1,1,1,0,0,2,0
2021-05-16,3,4,1,0,0,0,0,0
2021-05-17,2,1,1,0,0,0,0,0
2021-05-18,3,0,2,4,0,0,1,0
2021-05-19,2,1,1,0,0,0,0,0
2021-05-20,2,0,1,1,1,0,0,0
2021-05-21,0,0,2,1,0,0,0,0
2021-05-22,1,0,2,0,0,0,1,0
2021-05-23,2,1,0,0,0,0,0,0
2021-05-24,2,2,3,1,1,0,0,0
2021-05-25,2,4,2,1,0,0,0,0
2021-05-26,2,10,1,2,0,0,0,0
2021-05-27,0,12,2,0,0,0,1,0
2021-05-28,3,6,2,0,0,0,0,0
2021-05-29,1,7,1,0,0,0,1,0
2021-05-30,5,6,2,2,0,0,0,0
2021-05-31,2,5,0,0,1,0,0,0
2021-06-01,0,11,0,0,1,0,0,0
2021-06-02,1,6,1,6,0,0,0,0
2021-06-03,2,3,2,1,0,0,0,0
2021-06-04,0,6,0,1,0,0,0,0
2021-06-05,0,6,1,1,0,0,0,0
2021-06-06,5,8,2,2,0,0,0,0
2021-06-07,5,11,0,3,0,0,0,0
2021-06-08,5,3,1,2,0,0,1,0
2021-06-09,4,1,3,1,0,0,0,0
2021-06-10,3,4,7,2,0,0,0,0
2021-06-11,1,1,0,1,0,0,0,0
2021-06-12,1,4,1,3,0,0,0,0
2021-06-13,1,1,7,1,0,0,1,0
2021-06-14,6,6,1,0,0,0,0,0
2021-06-15,4,3,2,1,1,0,0,0
2021-06-16,3,8,0,4,1,0,0,0
2021-06-17,5,1,6,1,0,0,0,0
2021-06-18,1,1,3,3,0,0,1,0
2021-06-19,6,3,0,1,0,0,0,0
2021-06-20,6,2,1,0,0,0,0,0
2021-06-21,7,9,5,3,0,0,0,0
2021-06-22,10,2,3,0,0,0,0,0
2021-06-23,17,1,1,0,0,0,1,0
2021-06-24,12,5,4,4,1,0,0,0
2021-06-25,23,0,2,0,0,0,0,0
2021-06-26,12,4,1,2,0,0,1,0
2021-06-27,32,3,3,3,1,0,3,0
2021-06-28,22,2,3,0,1,0,1,0
2021-06-29,20,2,4,2,1,0,2,0
2021-06-30,28,2,4,11,4,0,0,0
2021-07-01,28,0,4,0,0,0,1,0
2021-07-02,32,3,5,2,1,0,0,0
2021-07-03,40,0,8,1,0,0,0,0
2021-07-04,16,1,2,2,1,0,0,0
2021-07-05,37,2,7,1,0,0,0,0
2021-07-06,18,2,6,0,3,0,0,0
2021-07-07,28,0,1,0,0,0,0,0
2021-07-08,38,0,3,1,0,0,3,0
2021-07-09,45,1,0,2,0,0,0,0
2021-07-10,52,3,5,2,0,0,0,0
2021-07-11,82,0,1,1,2,0,0,0
2021-07-12,116,2,1,2,1,0,1,0
2021-07-13,93,1,3,0,0,0,0,0
2021-07-14,99,1,5,2,0,0,0,0
2021-07-15,67,10,5,2,0,0,1,0
2021-07-16,98,11,1,6,0,0,1,0
2021-07-17,117,20,1,0,1,0,0,0
2021-07-18,109,18,1,0,0,0,0,0
2021-07-19,100,14,2,3,1,0,0,0
2021-07-20,79,15,3,3,8,0,0,0
2021-07-21,112,23,1,8,2,0,0,0
2021-07-22,124,28,0,3,0,0,0,0
2021-07-23,141,14,3,2,0,0,0,0
2021-07-24,164,12,0,1,0,0,1,0
2021-07-25,141,12,5,3,0,0,0,0
2021-07-26,151,12,1,2,0,0,0,0
2021-07-27,175,10,0,0,2,0,0,0
2021-07-28,177,8,20,0,1,0,0,0
2021-07-29,240,7,1,2,6,0,5,0
2021-07-30,172,3,2,0,0,0,0,0
2021-07-31,212,2,7,0,0,0,2,0
2021-08-01,241,4,9,3,0,0,0,0
2021-08-02,209,2,15,1,1,0,1,0
2021-08-03,202,5,16,0,0,0,0,0
2021-08-04,234,0,19,3,1,0,0,0
2021-08-05,268,6,27,0,0,1,0,0
2021-08-06,291,6,10,0,0,0,0,0
2021-08-07,321,29,13,0,0,0,0,0
2021-08-08,268,13,9,2,0,0,0,0
2021-08-09,285,11,5,0,0,0,0,0
2021-08-10,360,20,3,0,0,0,0,0
2021-08-11,344,20,4,0,0,0,0,0
2021-08-12,347,23,11,0,0,0,0,1
2021-08-13,391,15,8,0,0,0,0,5
2021-08-14,467,21,7,0,0,0,0,1
2021-08-15,417,25,1,0,0,0,0,2
2021-08-16,480,22,0,0,2,0,1,19
2021-08-17,454,25,2,0,0,0,0,17
2021-08-18,634,24,4,0,1,0,0,22
2021-08-19,684,57,0,1,0,0,0,16
2021-08-20,646,57,1,0,1,0,0,12
2021-08-21,832,61,2,0,0,0,0,8
2021-08-22,830,66,0,0,0,0,0,19
2021-08-23,818,71,2,1,1,0,0,16
2021-08-24,755,51,6,0,0,0,0,30
2021-08-25,921,45,0,0,20,0,0,9
2021-08-26,1034,80,2,0,0,0,0,14
2021-08-27,885,79,1,0,2,0,1,21
2021-08-28,1036,64,4,1,2,0,0,26
2021-08-29,1221,92,1,0,0,0,1,13
2021-08-30,1293,73,2,0,0,0,0,12
2021-08-31,1168,76,0,0,0,0,0,13
2021-09-01,1118,120,1,0,0,0,0,23
2021-09-02,1288,176,2,4,0,0,0,12
2021-09-03,1432,209,0,2,0,0,0,18
2021-09-04,1534,190,2,2,0,0,0,32
2021-09-05,1487,183,1,2,0,0,0,15
2021-09-06,1282,246,5,1,1,0,1,11
2021-09-07,1222,246,0,6,0,0,0,19
2021-09-08,1480,221,0,1,0,0,0,20
2021-09-09,1407,325,1,2,1,0,0,15
2021-09-10,1542,334,2,0,0,0,0,24
2021-09-11,1603,450,8,1,0,0,0,15
2021-09-12,1262,392,0,2,1,0,0,15
2021-09-13,1260,473,4,1,0,0,0,13
2021-09-14,1136,445,2,1,0,0,0,22
2021-09-15,1261,423,1,0,0,0,1,13
2021-09-16,1351,514,3,2,0,0,0,15
2021-09-17,1286,511,1,0,2,0,0,30
2021-09-18,1333,535,1,0,1,0,0,15
2021-09-19,1085,507,0,0,1,0,0,17
